# ./veth_bql_sweep.sh --pktgen --qdisc fq_codel --duration 10 --no-bpftrace --bql-disable
tx_usecs,nrules,avg_pps,avg_rtt_ms,avg_p99_ms,interval_p5_us,interval_p25_us,interval_p50_us,interval_p75_us,interval_p95_us,limit_p5,limit_p25,limit_p50,limit_p75,limit_p95
0,0,1361876,0.116,0.140,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
0,100,652211,0.410,0.476,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
0,1000,96613,2.465,2.797,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
0,5000,20331,10.990,12.800,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
0,10000,10228,22.384,25.733,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
0,15000,6823,33.477,38.433,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
0,20000,5101,44.588,51.500,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
